Movie Title,Time,Genre,Directors,Writers,Actors,Rating,Number of Ratings
The Shawshank Redemption,"
                142 min
",Crime; Drama,Frank Darabont,Stephen King; Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton,9.3,"916,394"
The Godfather,"
                175 min
",Crime; Drama,Francis Ford Coppola,Mario Puzo; Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan,9.2,"659,043"
The Godfather: Part II,"
                200 min
",Crime; Drama,Francis Ford Coppola,Francis Ford Coppola; Mario Puzo,Al Pacino; Robert De Niro; Robert Duvall,9.1,"424,229"
Pulp Fiction,"
                154 min
",Crime; Thriller,Quentin Tarantino,Quentin Tarantino; Roger Avary,John Travolta; Uma Thurman; Samuel L. Jackson,9.0,"713,833"
"The Good, the Bad and the Ugly","
                161 min
",Adventure; Western,Sergio Leone,Luciano Vincenzoni; Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef,9.0,"279,920"
12 Angry Men,"
                96 min
",Drama,Sidney Lumet,Reginald Rose,Henry Fonda; Lee J. Cobb; Martin Balsam,8.9,"225,459"
The Dark Knight,"
                152 min
",Action; Crime; Drama,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,9.0,"895,440"
Schindler's List,"
                195 min
",Biography; Drama; History,Steven Spielberg,Thomas Keneally; Steven Zaillian,Liam Neeson; Ralph Fiennes; Ben Kingsley,8.9,"471,428"
The Lord of the Rings: The Return of the King,"
                201 min
",Action; Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Viggo Mortensen; Ian McKellen,8.9,"656,051"
Fight Club,"
                139 min
",Drama,David Fincher,Chuck Palahniuk; Jim Uhls,Brad Pitt; Edward Norton; Helena Bonham Carter,8.9,"698,721"
Star Wars: Episode V - The Empire Strikes Back,"
                124 min
",Action; Adventure; Sci-Fi,Irvin Kershner,Leigh Brackett; Lawrence Kasdan,Mark Hamill; Harrison Ford; Carrie Fisher,8.8,"453,009"
The Lord of the Rings: The Fellowship of the Ring,"
                178 min
",Action; Adventure; Drama,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Orlando Bloom,8.8,"681,337"
One Flew Over the Cuckoo's Nest,"
                133 min
",Drama,Milos Forman,Lawrence Hauben; Bo Goldman,Jack Nicholson; Louise Fletcher; Michael Berryman,8.8,"382,886"
Inception,"
                148 min
",Action; Adventure; Mystery,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page,8.8,"710,918"
Goodfellas,"
                146 min
",Biography; Crime; Drama,Martin Scorsese,Nicholas Pileggi; Nicholas Pileggi,Robert De Niro; Ray Liotta; Joe Pesci,8.8,"401,258"
Star Wars,"
                121 min
",Action; Adventure; Fantasy,George Lucas,George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.8,"508,049"
Seven Samurai,"
                141 min
",Action; Adventure; Drama,Akira Kurosawa,Akira Kurosawa; Shinobu Hashimoto,Toshir Mifune; Takashi Shimura; Keiko Tsushima,8.8,"144,248"
Forrest Gump,"
                142 min
",Drama; Romance,Robert Zemeckis,Winston Groom; Eric Roth,Tom Hanks; Robin Wright; Gary Sinise,8.7,"598,711"
The Matrix,"
                136 min
",Action; Adventure; Sci-Fi,Andy Wachowski; Lana Wachowski,Andy Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,8.7,"664,408"
The Lord of the Rings: The Two Towers,"
                179 min
",Action; Adventure; Drama,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Viggo Mortensen,8.7,"588,890"
City of God,"
                130 min
",Crime; Drama,Fernando Meirelles; Ktia Lund,Paulo Lins; Brulio Mantovani,Alexandre Rodrigues; Matheus Nachtergaele; Leandro Firmino,8.7,"300,479"
Se7en,"
                127 min
",Crime; Mystery; Thriller,David Fincher,Andrew Kevin Walker,Morgan Freeman; Brad Pitt; Kevin Spacey,8.7,"533,206"
Once Upon a Time in the West,"
                175 min
",Adventure; Western,Sergio Leone,Sergio Leone; Sergio Donati,Henry Fonda; Charles Bronson; Claudia Cardinale,8.7,"127,045"
The Silence of the Lambs,"
                118 min
",Crime; Drama; Thriller,Jonathan Demme,Thomas Harris; Ted Tally,Jodie Foster; Anthony Hopkins; Lawrence A. Bonney,8.7,"446,876"
Casablanca,"
                102 min
",Drama; Romance; War,Michael Curtiz,Julius J. Epstein; Philip G. Epstein,Humphrey Bogart; Ingrid Bergman; Paul Henreid,8.7,"247,753"
The Usual Suspects,"
                106 min
",Crime; Drama; Mystery,Bryan Singer,Christopher McQuarrie,Kevin Spacey; Gabriel Byrne; Chazz Palminteri,8.7,"422,448"
Raiders of the Lost Ark,"
                115 min
",Action; Adventure,Steven Spielberg,Lawrence Kasdan; George Lucas,Harrison Ford; Karen Allen; Paul Freeman,8.7,"387,069"
Rear Window,"
                112 min
",Mystery; Thriller,Alfred Hitchcock,John Michael Hayes; Cornell Woolrich,James Stewart; Grace Kelly; Wendell Corey,8.7,"186,301"
Psycho,"
                109 min
",Horror; Mystery; Thriller,Alfred Hitchcock,Joseph Stefano; Robert Bloch,Anthony Perkins; Janet Leigh; Vera Miles,8.6,"233,677"
It's a Wonderful Life,"
                130 min
",Drama; Family; Fantasy,Frank Capra,Frances Goodrich; Albert Hackett,James Stewart; Donna Reed; Lionel Barrymore,8.7,"160,562"
Lon: The Professional,"
                110 min
",Crime; Drama; Thriller,Luc Besson,Luc Besson,Jean Reno; Gary Oldman; Natalie Portman,8.6,"390,070"
Sunset Blvd.,"
                110 min
",Drama; Film-Noir,Billy Wilder,Charles Brackett; Billy Wilder,William Holden; Gloria Swanson; Erich von Stroheim,8.6,"84,319"
Memento,"
                113 min
",Mystery; Thriller,Christopher Nolan,Christopher Nolan; Jonathan Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano,8.6,"483,821"
American History X,"
                119 min
",Crime; Drama,Tony Kaye,David McKenna,Edward Norton; Edward Furlong; Beverly D'Angelo,8.6,"422,347"
Apocalypse Now,"
                153 min
",Drama; War,Francis Ford Coppola,John Milius; Francis Ford Coppola,Martin Sheen; Marlon Brando; Robert Duvall,8.6,"270,981"
Terminator 2: Judgment Day,"
                137 min
",Action; Sci-Fi; Thriller,James Cameron,James Cameron; William Wisher Jr.,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong,8.6,"416,878"
Saving Private Ryan,"
                169 min
",Action; Drama; War,Steven Spielberg,Robert Rodat,Tom Hanks; Matt Damon; Tom Sizemore,8.6,"470,481"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"
                95 min
",Comedy; War,Stanley Kubrick,Stanley Kubrick; Terry Southern,Peter Sellers; George C. Scott; Sterling Hayden,8.6,"223,371"
Django Unchained,"
                165 min
",Adventure; Drama; Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx; Christoph Waltz; Leonardo DiCaprio,8.6,"199,536"
Alien,"
                117 min
",Horror; Sci-Fi,Ridley Scott,Dan O'Bannon; Ronald Shusett,Sigourney Weaver; Tom Skerritt; John Hurt,8.5,"312,821"
City Lights,"
                87 min
",Comedy; Drama; Romance,Charles Chaplin,Charles Chaplin,Charles Chaplin; Virginia Cherrill; Florence Lee,8.6,"53,428"
North by Northwest,"
                136 min
",Action; Adventure; Crime,Alfred Hitchcock,Ernest Lehman,Cary Grant; Eva Marie Saint; James Mason,8.5,"136,858"
Spirited Away,"
                125 min
",Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase; Suzanne Pleshette; Miyu Irino,8.6,"204,953"
The Dark Knight Rises,"
                165 min
",Action; Crime; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Tom Hardy; Anne Hathaway,8.6,"543,131"
Modern Times,"
                87 min
",Comedy; Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Henry Bergman,8.6,"67,496"
Citizen Kane,"
                119 min
",Drama; Mystery,Orson Welles,Herman J. Mankiewicz; Orson Welles,Orson Welles; Joseph Cotten; Dorothy Comingore,8.5,"194,727"
The Shining,"
                146 min
",Horror; Mystery,Stanley Kubrick,Stephen King; Stanley Kubrick,Jack Nicholson; Shelley Duvall; Danny Lloyd,8.5,"324,651"
Back to the Future,"
                116 min
",Adventure; Comedy; Sci-Fi,Robert Zemeckis,Robert Zemeckis; Bob Gale,Michael J. Fox; Christopher Lloyd; Lea Thompson,8.5,"368,346"
The Pianist,"
                150 min
",Biography; Drama; War,Roman Polanski,Ronald Harwood; Wladyslaw Szpilman,Adrien Brody; Thomas Kretschmann; Frank Finlay,8.5,"252,383"
The Departed,"
                151 min
",Crime; Thriller,Martin Scorsese,William Monahan; Alan Mak,Leonardo DiCaprio; Matt Damon; Jack Nicholson,8.5,"466,145"
Vertigo,"
                128 min
",Mystery; Romance; Thriller,Alfred Hitchcock,Alec Coppel; Samuel A. Taylor,James Stewart; Kim Novak; Barbara Bel Geddes,8.5,"142,138"
M,"
                99 min
",Crime; Drama; Film-Noir,Fritz Lang,Thea von Harbou; Fritz Lang,Peter Lorre; Ellen Widmann; Inge Landgut,8.5,"61,012"
La vita bella,"
                116 min
",Comedy; Drama; Romance,Roberto Benigni; Rod Dean,Vincenzo Cerami; Roberto Benigni,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini,8.5,"200,249"
American Beauty,"
                122 min
",Drama,Sam Mendes,Alan Ball,Kevin Spacey; Annette Bening; Thora Birch,8.5,"484,029"
Taxi Driver,"
                113 min
",Crime; Drama,Martin Scorsese,Paul Schrader,Robert De Niro; Jodie Foster; Cybill Shepherd,8.5,"278,480"
Paths of Glory,"
                88 min
",Drama; War,Stanley Kubrick,Stanley Kubrick; Calder Willingham,Kirk Douglas; Ralph Meeker; Adolphe Menjou,8.5,"69,237"
Double Indemnity,"
                107 min
",Crime; Drama; Film-Noir,Billy Wilder,Billy Wilder; Raymond Chandler,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson,8.5,"58,093"
Aliens,"
                137 min
",Action; Adventure; Sci-Fi,James Cameron,James Cameron; David Giler,Sigourney Weaver; Michael Biehn; Carrie Henn,8.5,"283,826"
Toy Story 3,"
                103 min
",Animation; Adventure; Comedy,Lee Unkrich,John Lasseter; Andrew Stanton,Tom Hanks; Tim Allen; Joan Cusack,8.5,"269,622"
WALLE,"
                98 min
",Animation; Adventure; Family,Andrew Stanton,Andrew Stanton; Pete Docter,Ben Burtt; Elissa Knight; Jeff Garlin,8.5,"366,275"
The Lives of Others,"
                137 min
",Drama; Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mhe; Martina Gedeck; Sebastian Koch,8.5,"143,512"
The Intouchables,"
                112 min
",Biography; Comedy; Drama,Olivier Nakache; Eric Toledano,Olivier Nakache; Eric Toledano,Franois Cluzet; Omar Sy; Anne Le Ny,8.6,"147,561"
Gladiator,"
                155 min
",Action; Adventure; Drama,Ridley Scott,David Franzoni; David Franzoni,Russell Crowe; Joaquin Phoenix; Connie Nielsen,8.5,"515,095"
A Clockwork Orange,"
                136 min
",Crime; Drama; Sci-Fi,Stanley Kubrick,Stanley Kubrick; Anthony Burgess,Malcolm McDowell; Patrick Magee; Michael Bates,8.5,"311,802"
The Green Mile,"
                189 min
",Crime; Drama; Fantasy,Frank Darabont,Stephen King; Frank Darabont,Tom Hanks; Michael Clarke Duncan; David Morse,8.5,"379,748"
Amlie,"
                122 min
",Comedy; Romance,Jean-Pierre Jeunet,Guillaume Laurant; Jean-Pierre Jeunet,Audrey Tautou; Mathieu Kassovitz; Rufus,8.5,"307,268"
The Great Dictator,"
                125 min
",Comedy; Drama; War,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Jack Oakie,8.5,"66,504"
The Prestige,"
                130 min
",Drama; Mystery; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson,8.5,"420,663"
Lawrence of Arabia,"
                216 min
",Adventure; Biography; Drama,David Lean,T.E. Lawrence; Robert Bolt,Peter O'Toole; Alec Guinness; Anthony Quinn,8.5,"115,928"
To Kill a Mockingbird,"
                129 min
",Crime; Drama; Mystery,Robert Mulligan,Harper Lee; Horton Foote,Gregory Peck; John Megna; Frank Overton,8.5,"126,291"
Reservoir Dogs,"
                99 min
",Crime; Thriller,Quentin Tarantino,Quentin Tarantino; Roger Avary,Harvey Keitel; Tim Roth; Michael Madsen,8.4,"360,088"
Das Boot,"
                149 min
",Action; Adventure; Drama,Wolfgang Petersen,Lothar G. Buchheim; Wolfgang Petersen,Jrgen Prochnow; Herbert Grnemeyer; Klaus Wennemann,8.4,"104,561"
The Third Man,"
                93 min
",Film-Noir; Mystery; Thriller,Carol Reed,Graham Greene; Graham Greene,Orson Welles; Joseph Cotten; Alida Valli,8.4,"72,440"
Requiem for a Dream,"
                102 min
",Drama,Darren Aronofsky,Hubert Selby Jr.; Hubert Selby Jr.,Ellen Burstyn; Jared Leto; Jennifer Connelly,8.4,"328,851"
The Treasure of the Sierra Madre,"
                126 min
",Action; Adventure; Drama,John Huston,John Huston; B. Traven,Humphrey Bogart; Walter Huston; Tim Holt,8.4,"49,011"
Eternal Sunshine of the Spotless Mind,"
                108 min
",Drama; Romance; Sci-Fi,Michel Gondry,Charlie Kaufman; Michel Gondry,Jim Carrey; Kate Winslet; Tom Wilkinson,8.4,"379,952"
Cinema Paradiso,"
                155 min
",Drama,Giuseppe Tornatore,Giuseppe Tornatore; Giuseppe Tornatore,Philippe Noiret; Enzo Cannavale; Antonella Attili,8.4,"79,282"
Once Upon a Time in America,"
                229 min
",Crime; Drama,Sergio Leone,Harry Grey; Leonardo Benvenuti,Robert De Niro; James Woods; Elizabeth McGovern,8.4,"126,253"
The Lion King,"
                89 min
",Animation; Adventure; Drama,Roger Allers; Rob Minkoff,Irene Mecchi; Jonathan Roberts,Matthew Broderick; Jeremy Irons; James Earl Jones,8.4,"304,099"
Star Wars: Episode VI - Return of the Jedi,"
                134 min
",Action; Adventure; Fantasy,Richard Marquand,Lawrence Kasdan; George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.4,"353,688"
Chinatown,"
                130 min
",Crime; Drama; Mystery,Roman Polanski,Robert Towne,Jack Nicholson; Faye Dunaway; John Huston,8.4,"128,289"
L.A. Confidential,"
                138 min
",Crime; Drama; Mystery,Curtis Hanson,James Ellroy; Brian Helgeland,Kevin Spacey; Russell Crowe; Guy Pearce,8.4,"258,829"
Full Metal Jacket,"
                116 min
",Drama; War,Stanley Kubrick,Gustav Hasford; Stanley Kubrick,Matthew Modine; R. Lee Ermey; Vincent D'Onofrio,8.4,"264,934"
Braveheart,"
                177 min
",Action; Biography; Drama,Mel Gibson,Randall Wallace,Mel Gibson; Sophie Marceau; Patrick McGoohan,8.4,"416,763"
Monty Python and the Holy Grail,"
                91 min
",Adventure; Comedy; Fantasy,Terry Gilliam; Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Eric Idle,8.4,"235,456"
Oldeuboi,"
                120 min
",Drama; Mystery; Thriller,Chan-wook Park,Garon Tsuchiya; Nobuaki Minegishi,Min-sik Choi; Ji-tae Yu; Hye-jeong Kang,8.4,"184,227"
Singin' in the Rain,"
                103 min
",Comedy; Musical; Romance,Stanley Donen; Gene Kelly,Adolph Green; Betty Comden,Gene Kelly; Donald O'Connor; Debbie Reynolds,8.4,"87,164"
Some Like It Hot,"
                120 min
",Comedy,Billy Wilder,Billy Wilder; I.A.L. Diamond,Marilyn Monroe; Tony Curtis; Jack Lemmon,8.4,"105,647"
Amadeus,"
                160 min
",Biography; Drama; Music,Milos Forman,Peter Shaffer; Peter Shaffer,F. Murray Abraham; Tom Hulce; Elizabeth Berridge,8.4,"159,259"
Metropolis,"
                153 min
",Drama; Sci-Fi,Fritz Lang,Thea von Harbou; Thea von Harbou,Brigitte Helm; Alfred Abel; Gustav Frhlich,8.4,"65,442"
Bicycle Thieves,"
                93 min
",Crime; Drama,Vittorio De Sica,Luigi Bartolini; Cesare Zavattini,Lamberto Maggiorani; Enzo Staiola; Lianella Carell,8.4,"49,044"
Rashomon,"
                88 min
",Crime; Drama,Akira Kurosawa,Rynosuke Akutagawa; Akira Kurosawa,Toshir Mifune; Machiko Ky; Masayuki Mori,8.4,"60,886"
Princess Mononoke,"
                134 min
",Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki,Yji Matsuda; Yuriko Ishida; Yko Tanaka,8.4,"116,288"
2001: A Space Odyssey,"
                141 min
",Adventure; Mystery; Sci-Fi,Stanley Kubrick,Stanley Kubrick; Arthur C. Clarke,Keir Dullea; Gary Lockwood; William Sylvester,8.4,"241,838"
Unforgiven,"
                131 min
",Western,Clint Eastwood,David Webb Peoples,Clint Eastwood; Gene Hackman; Morgan Freeman,8.3,"166,019"
All About Eve,"
                138 min
",Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis; Anne Baxter; George Sanders,8.4,"50,919"
The Apartment,"
                125 min
",Comedy; Drama; Romance,Billy Wilder,Billy Wilder; I.A.L. Diamond,Jack Lemmon; Shirley MacLaine; Fred MacMurray,8.4,"61,292"
The Sting,"
                129 min
",Comedy; Crime; Drama,George Roy Hill,David S. Ward,Paul Newman; Robert Redford; Robert Shaw,8.4,"103,025"
Indiana Jones and the Last Crusade,"
                127 min
",Action; Adventure; Comedy,Steven Spielberg,Jeffrey Boam; George Lucas,Harrison Ford; Sean Connery; Alison Doody,8.3,"292,395"
Raging Bull,"
                129 min
",Biography; Drama; Sport,Martin Scorsese,Jake LaMotta; Joseph Carter,Robert De Niro; Cathy Moriarty; Joe Pesci,8.3,"141,623"
The Bridge on the River Kwai,"
                161 min
",Adventure; Drama; History,David Lean,Pierre Boulle,William Holden; Alec Guinness; Jack Hawkins,8.3,"90,506"
Witness for the Prosecution,"
                116 min
",Drama; Mystery,Billy Wilder,Agatha Christie; Billy Wilder,Tyrone Power; Marlene Dietrich; Charles Laughton,8.4,"30,840"
Die Hard,"
                131 min
",Action; Thriller,John McTiernan,Roderick Thorp; Jeb Stuart,Bruce Willis; Alan Rickman; Bonnie Bedelia,8.3,"339,653"
Grave of the Fireflies,"
                89 min
",Animation; Drama; War,Isao Takahata,Akiyuki Nosaka; Isao Takahata,Tsutomu Tatsumi; Ayano Shiraishi; Akemi Yamaguchi,8.4,"63,697"
Batman Begins,"
                140 min
",Action; Adventure; Crime,Christopher Nolan,Bob Kane; David S. Goyer,Christian Bale; Michael Caine; Ken Watanabe,8.3,"522,921"
Jodaeiye Nader az Simin,"
                123 min
",Drama,Asghar Farhadi,Asghar Farhadi,Payman Maadi; Leila Hatami; Sareh Bayat,8.5,"76,151"
El laberinto del fauno,"
                118 min
",Drama; Fantasy; War,Guillermo del Toro,Guillermo del Toro,Ivana Baquero; Ariadna Gil; Sergi Lpez,8.3,"271,774"
Downfall,"
                156 min
",Biography; Drama; History,Oliver Hirschbiegel,Bernd Eichinger; Joachim Fest,Bruno Ganz; Alexandra Maria Lara; Ulrich Matthes,8.3,"145,837"
Yojimbo,"
                110 min
",Action; Adventure,Akira Kurosawa,Akira Kurosawa; Akira Kurosawa,Toshir Mifune; Eijir Tno; Tatsuya Nakadai,8.4,"44,223"
For a Few Dollars More,"
                132 min
",Western,Sergio Leone,Sergio Leone; Fulvio Morsella,Clint Eastwood; Lee Van Cleef; Gian Maria Volont,8.3,"81,751"
Snatch.,"
                102 min
",Crime; Thriller,Guy Ritchie,Guy Ritchie,Jason Statham; Brad Pitt; Benicio Del Toro,8.3,"335,295"
The Great Escape,"
                172 min
",Adventure; Drama; History,John Sturges,Paul Brickhill; James Clavell,Steve McQueen; James Garner; Richard Attenborough,8.3,"97,081"
Inglourious Basterds,"
                153 min
",Adventure; Drama; War,Quentin Tarantino,Quentin Tarantino,Brad Pitt; Diane Kruger; Eli Roth,8.3,"420,583"
Mr. Smith Goes to Washington,"
                129 min
",Drama,Frank Capra,Sidney Buchman; Lewis R. Foster,James Stewart; Jean Arthur; Claude Rains,8.3,"48,643"
Up,"
                96 min
",Animation; Adventure; Comedy,Pete Docter; Bob Peterson,Pete Docter; Bob Peterson,Edward Asner; Jordan Nagai; John Ratzenberger,8.3,"308,012"
On the Waterfront,"
                108 min
",Crime; Drama,Elia Kazan,Budd Schulberg; Budd Schulberg,Marlon Brando; Karl Malden; Lee J. Cobb,8.3,"60,893"
The Elephant Man,"
                124 min
",Biography; Drama,David Lynch,Christopher De Vore; Eric Bergren,Anthony Hopkins; John Hurt; Anne Bancroft,8.3,"96,968"
Toy Story,"
                81 min
",Animation; Adventure; Comedy,John Lasseter,John Lasseter; Pete Docter,Tom Hanks; Tim Allen; Don Rickles,8.3,"310,890"
The Seventh Seal,"
                96 min
",Drama; Fantasy,Ingmar Bergman,Ingmar Bergman; Ingmar Bergman,Max von Sydow; Gunnar Bjrnstrand; Bengt Ekerot,8.3,"64,768"
Heat,"
                170 min
",Action; Crime; Drama,Michael Mann,Michael Mann,Al Pacino; Robert De Niro; Val Kilmer,8.3,"254,907"
The General,"
                107 min
",Action; Adventure; Comedy,Clyde Bruckman; Buster Keaton,Buster Keaton; Clyde Bruckman,Buster Keaton; Marion Mack; Glen Cavender,8.3,"30,544"
The Maltese Falcon,"
                100 min
",Crime; Drama; Film-Noir,John Huston,John Huston; Dashiell Hammett,Humphrey Bogart; Mary Astor; Gladys George,8.3,"72,498"
Blade Runner,"
                117 min
",Drama; Sci-Fi; Thriller,Ridley Scott,Hampton Fancher; David Webb Peoples,Harrison Ford; Rutger Hauer; Sean Young,8.3,"288,611"
